Analyte_Name,Matrix Interaction P-Value,Percent_Change,Slope_PL-EDTA,Slope_PL-HE,Slope_SE
6CKINE/CCL21/EXODUS2,0.079,-9.753,-0.028,-0.01,-0.01
BCA1/CXCL13,0.879,-9.488,-0.013,-0.019,-0.013
CSF1/MCFS,0.668,-11.493,-0.016,-0.024,-0.014
CSF2/GMCSF,0.536,-2.228,0.007,0.001,-0.016
CTACK/CCL27,0.153,-8.844,-0.021,-0.016,-0.006
EGF,0.636,12.072,0.036,0.025,-0.01
EOTAXIN/CCL11,0.294,8.287,                <0.001,0.062,-0.006
EOTAXIN2/CCL24/MPIF2,0.157,-6.706,-0.029,0.003,-0.009
FASL,0.868,-21.309,-0.028,-0.024,-0.037
FGF2/FGFB,0.948,-4.871,-0.005,-0.013,-0.01
GCSF/CSF3,0.585,-5.97,                <0.001,-0.018,-0.012
GROA/KC/CXCL1,0.392,8.261,0.034,0.018,-0.023
HGF,0.497,-29.649,-0.024,-0.041,-0.064
I309/CCL1,0.261,-2.69,-0.012,0.017,-0.017
IFNA,0.334,-6.559,0.001,-0.024,-0.008
IL12P40,0.341,-11.974,-0.01,-0.033,-0.014
IL12P70,0.192,-16.112,-0.01,-0.045,-0.021
IL13,0.252,-10.592,-0.001,-0.032,-0.017
IL15,0.819,-12.044,-0.013,-0.021,-0.017
IL16,0.405,-21.067,-0.014,-0.062,-0.023
IL17A/CTLA8,0.593,-8.874,-0.013,-0.008,-0.024
IL17F,0.52,-10.325,-0.007,-0.029,-0.014
IL18,0.545,1.432,-0.003,0.009,-0.003
IL1A,0.137,-2.539,0.007,-0.021,     <0.001
IL1B,0.663,-3.446,-0.005,-0.011,-0.002
IL1RA,0.955,-10.551,-0.017,-0.02,-0.011
IL2,0.568,-6.986,-0.012,-0.015,-0.004
IL20,0.059,-3.803,-0.023,0.025,-0.017
IL21,0.077,1.048,-0.016,0.021,-0.011
IL22,0.951,-4.861,-0.005,-0.007,-0.007
IL23,0.117,-5.055,-0.026,0.013,-0.015
IL28A/IFNL2,0.749,-3.348,-0.007,0.003,-0.015
IL3,0.313,-9.294,0.006,-0.025,-0.02
IL4,0.378,-7.011,-0.004,-0.01,-0.016
IL7,0.411,0.101,0.006,0.004,-0.01
IL8/CXCL8,0.978,-4.758,                <0.001,-0.013,-0.012
IL9,0.723,-5.381,                <0.001,-0.015,-0.013
IP-10/CXCL10,0.962,-1.847,-0.005,-0.003,-0.004
LEPTIN,0.164,-70.287,-0.317,-0.065,-0.104
LIF,0.272,2.389,-0.005,0.015,-0.005
MCP1/CCL2,0.245,21.963,0.008,0.082,0.008
MCP2/CCL8,0.439,-0.479,0.018,-0.014,-0.01
MCP3/CCL7,0.124,-9.122,-0.011,-0.029,-0.002
MCP4/CCL13,0.879,6.649,0.015,0.006,-0.004
MIF,0.951,-22.696,-0.044,-0.016,-0.032
MIG/CXCL9,0.138,-13.579,-0.028,-0.012,-0.028
MIP1A/CCL3,0.414,-6.594,-0.002,-0.015,-0.016
MIP1B/CCL4,0.852,-0.557,-0.001,0.003,-0.006
MIP1D/MIP5/CCL15,0.146,-3.033,-0.018,0.006,-0.002
PAI1/SERPINE1,0.063,-2.726,-0.001,0.028,-0.032
PDGFAA,0.07,23.297,0.045,0.043,0.002
RANTES/CCL5,0.96,4.277,0.005,0.007,0.005
RESISTIN,0.553,-12.894,0.001,-0.007,-0.046
SCD40L,0.65,9.18,0.021,0.025,-0.013
SCF,0.091,-4.723,-0.017,0.001,-0.009
SFAS/TNFRSF6,0.651,-26.001,-0.052,-0.022,-0.031
SICAM1,0.214,-19.587,-0.027,-0.009,-0.047
SVCAM1,0.09,-2.735,-0.018,0.034,-0.027
TARC/CCL17,0.073,35.755,0.054,0.058,0.008
TGFA,0.556,-12.355,-0.012,-0.028,-0.017
TNFA,0.724,-4.547,-0.01,0.017,-0.01
TSLP,0.628,-10.135,-0.025,-0.009,-0.023
VEGF,0.185,14.323,0.041,0.017,-0.003
